show_id,episode_id,name,url,season,number,type,airdate,airtime,airstamp,runtime
52196,1978797,#YourHomeMud,https://www.tvmaze.com/episodes/1978797/your-home-1x01-yourhomemud,1,1.0,regular,2020-12-04,,2020-12-04,20.0
52348,1984024,Episode 6,https://www.tvmaze.com/episodes/1984024/better-days-1x06-episode-6,1,6.0,regular,2020-12-04,,2020-12-04,20.0
52415,1985305,Episode 1,https://www.tvmaze.com/episodes/1985305/daughters-1x01-episode-1,1,1.0,regular,2020-12-04,20:00,2020-12-04,50.0
52415,1985306,Episode 2,https://www.tvmaze.com/episodes/1985306/daughters-1x02-episode-2,1,2.0,regular,2020-12-04,20:00,2020-12-04,50.0
52415,1985307,Episode 3,https://www.tvmaze.com/episodes/1985307/daughters-1x03-episode-3,1,3.0,regular,2020-12-04,20:00,2020-12-04,50.0
52415,1985308,Episode 4,https://www.tvmaze.com/episodes/1985308/daughters-1x04-episode-4,1,4.0,regular,2020-12-04,20:00,2020-12-04,50.0
52416,1985331,Chapter 1: Do You Know How to Masturbate?,https://www.tvmaze.com/episodes/1985331/the-leaked-1x01-chapter-1-do-you-know-how-to-masturbate,1,1.0,regular,2020-12-04,,2020-12-04,19.0
52421,1985461,Episode 5,https://www.tvmaze.com/episodes/1985461/you-complete-me-1x05-episode-5,1,5.0,regular,2020-12-04,20:00,2020-12-04,45.0
52421,1985462,Episode 6,https://www.tvmaze.com/episodes/1985462/you-complete-me-1x06-episode-6,1,6.0,regular,2020-12-04,20:00,2020-12-04,45.0
52519,1987978,Where It All Began,https://www.tvmaze.com/episodes/1987978/beyond-the-clouds-1x01-where-it-all-began,1,1.0,regular,2020-12-04,,2020-12-04,
54112,2047633,Food Carving,https://www.tvmaze.com/episodes/2047633/kids-teaching-idol-1x04-food-carving,1,4.0,regular,2020-12-04,,2020-12-04,15.0
54218,2051980,Николай Цискаридзе-PRO-БАЛЕТ-выпуск#21-СПЯЩАЯ КРАСАВИЦА-русская версия-PRO-BALLET-part#21-SleepingB,https://www.tvmaze.com/episodes/2051980/pro-balet-s-nikolaem-ciskaridze-1x28-nikolaj-ciskaridze-pro-balet-vypusk21-spasaa-krasavica-russkaa-versia-pro-ballet-part21-sleepingb,1,28.0,regular,2020-12-04,,2020-12-04,16.0
56139,2121006,Soft Lock,https://www.tvmaze.com/episodes/2121006/meta-runner-2x08-soft-lock,2,8.0,regular,2020-12-04,,2020-12-04,15.0
61140,2298659,Pressure Is On,https://www.tvmaze.com/episodes/2298659/michael-fassbender-road-to-le-mans-2x07-pressure-is-on,2,7.0,regular,2020-12-04,,2020-12-04,24.0
46591,1975135,The Case of the Mysterious Girl,https://www.tvmaze.com/episodes/1975135/mira-royal-detective-1x41-the-case-of-the-mysterious-girl,1,41.0,regular,2020-12-04,08:30,2020-12-04,15.0
46591,1975136,Mystery on the Waterfront,https://www.tvmaze.com/episodes/1975136/mira-royal-detective-1x42-mystery-on-the-waterfront,1,42.0,regular,2020-12-04,08:45,2020-12-04,15.0
26341,1976204,A Christmas Mission in Toyland,https://www.tvmaze.com/episodes/1976204/puppy-dog-pals-4x05-a-christmas-mission-in-toyland,4,5.0,regular,2020-12-04,09:00,2020-12-04,15.0
36813,1991528,Nelson Motta,https://www.tvmaze.com/episodes/1991528/conversa-com-bial-4x145-nelson-motta,4,145.0,regular,2020-12-04,,2020-12-04,
26341,1976205,Nine Lights Tonight,https://www.tvmaze.com/episodes/1976205/puppy-dog-pals-4x06-nine-lights-tonight,4,6.0,regular,2020-12-04,09:15,2020-12-04,15.0
36030,1985564,Hug-A-Pip,https://www.tvmaze.com/episodes/1985564/tots-2x21-hug-a-pip,2,21.0,regular,2020-12-04,09:30,2020-12-04,15.0
36030,1985565,Out of Control Tower,https://www.tvmaze.com/episodes/1985565/tots-2x22-out-of-control-tower,2,22.0,regular,2020-12-04,09:45,2020-12-04,15.0
52250,1980719,Episode 78,https://www.tvmaze.com/episodes/1980719/sj-returns-4x78-episode-78,4,78.0,regular,2020-12-04,00:00,2020-12-04,5.0
40862,2215234,Josh Johnson - When Your Sex Ed Teacher Is Clearly a Virgin,https://www.tvmaze.com/episodes/2215234/comedy-central-stand-up-featuring-7x01-josh-johnson-when-your-sex-ed-teacher-is-clearly-a-virgin,7,1.0,regular,2020-12-04,,2020-12-04,
45235,1967698,Welcome to Your Life,https://www.tvmaze.com/episodes/1967698/the-hardy-boys-1x01-welcome-to-your-life,1,1.0,regular,2020-12-04,,2020-12-04,46.0
45235,1967699,Where the Light Can't Find You,https://www.tvmaze.com/episodes/1967699/the-hardy-boys-1x02-where-the-light-cant-find-you,1,2.0,regular,2020-12-04,,2020-12-04,45.0
45235,1967700,Of Freedom and Pleasure,https://www.tvmaze.com/episodes/1967700/the-hardy-boys-1x03-of-freedom-and-pleasure,1,3.0,regular,2020-12-04,,2020-12-04,40.0
45235,1967701,Secrets and Lies,https://www.tvmaze.com/episodes/1967701/the-hardy-boys-1x04-secrets-and-lies,1,4.0,regular,2020-12-04,,2020-12-04,44.0
45235,1967702,The Drop,https://www.tvmaze.com/episodes/1967702/the-hardy-boys-1x05-the-drop,1,5.0,regular,2020-12-04,,2020-12-04,42.0
45235,1967703,In Plain Sight,https://www.tvmaze.com/episodes/1967703/the-hardy-boys-1x06-in-plain-sight,1,6.0,regular,2020-12-04,,2020-12-04,45.0
45235,1967704,A Figure in Hiding,https://www.tvmaze.com/episodes/1967704/the-hardy-boys-1x07-a-figure-in-hiding,1,7.0,regular,2020-12-04,,2020-12-04,40.0
45235,1967705,What Happened in Bridgeport,https://www.tvmaze.com/episodes/1967705/the-hardy-boys-1x08-what-happened-in-bridgeport,1,8.0,regular,2020-12-04,,2020-12-04,44.0
45235,1967706,The Key,https://www.tvmaze.com/episodes/1967706/the-hardy-boys-1x09-the-key,1,9.0,regular,2020-12-04,,2020-12-04,40.0
45235,1967707,The Secret Room,https://www.tvmaze.com/episodes/1967707/the-hardy-boys-1x10-the-secret-room,1,10.0,regular,2020-12-04,,2020-12-04,41.0
45235,1967708,No Getting Out,https://www.tvmaze.com/episodes/1967708/the-hardy-boys-1x11-no-getting-out,1,11.0,regular,2020-12-04,,2020-12-04,40.0
45235,1967709,Eye to Eye,https://www.tvmaze.com/episodes/1967709/the-hardy-boys-1x12-eye-to-eye,1,12.0,regular,2020-12-04,,2020-12-04,41.0
45235,1967710,While the Clock Ticked,https://www.tvmaze.com/episodes/1967710/the-hardy-boys-1x13-while-the-clock-ticked,1,13.0,regular,2020-12-04,,2020-12-04,43.0
45812,1977758,"""Big News""",https://www.tvmaze.com/episodes/1977758/tooning-out-the-news-1x108-big-news,1,108.0,regular,2020-12-04,,2020-12-04,7.0
49903,1969215,Barnebursdag,https://www.tvmaze.com/episodes/1969215/familiekokkene-1x02-barnebursdag,1,2.0,regular,2020-12-04,18:00,2020-12-04,59.0
50150,1959889,America,https://www.tvmaze.com/episodes/1959889/wilmore-1x11-america,1,11.0,regular,2020-12-04,,2020-12-04,23.0
50839,1987427,Switcheroo!,https://www.tvmaze.com/episodes/1987427/um-actually-4x09-switcheroo,4,9.0,regular,2020-12-04,,2020-12-04,30.0
52709,1995402,Wind,https://www.tvmaze.com/episodes/1995402/engineering-the-future-1x01-wind,1,1.0,regular,2020-12-04,,2020-12-04,60.0
52709,1995403,Aviation,https://www.tvmaze.com/episodes/1995403/engineering-the-future-1x02-aviation,1,2.0,regular,2020-12-04,,2020-12-04,60.0
52709,1995404,Fusion,https://www.tvmaze.com/episodes/1995404/engineering-the-future-1x03-fusion,1,3.0,regular,2020-12-04,,2020-12-04,60.0
57491,2169003,Watergate Whistleblower: Secret Identity Revealed,https://www.tvmaze.com/episodes/2169003/historys-greatest-mysteries-solved-1x04-watergate-whistleblower-secret-identity-revealed,1,4.0,regular,2020-12-04,,2020-12-04,10.0
62418,2341524,"Pussyvale, Nova Scotia",https://www.tvmaze.com/episodes/2341524/trailer-park-boys-park-after-dark-2x28-pussyvale-nova-scotia,2,28.0,regular,2020-12-04,,2020-12-04,30.0
44110,2308829,Episode 1,https://www.tvmaze.com/episodes/2308829/pants-on-fire-2x01-episode-1,2,1.0,regular,2020-12-04,21:00,2020-12-04,60.0
44110,2308830,Episode 2,https://www.tvmaze.com/episodes/2308830/pants-on-fire-2x02-episode-2,2,2.0,regular,2020-12-04,21:00,2020-12-04,60.0
44110,2308831,Best Bits,https://www.tvmaze.com/episodes/2308831/pants-on-fire-2x03-best-bits,2,3.0,regular,2020-12-04,21:00,2020-12-04,60.0
42077,1978323,Disney Holiday Magic Quest,https://www.tvmaze.com/episodes/1978323/zombies-2020-special-disney-holiday-magic-quest,2020,,insignificant_special,2020-12-04,20:00,2020-12-05,50.0
51061,1965175,Feelin' the Power,https://www.tvmaze.com/episodes/1965175/zombies-addisons-monster-mystery-1x08-feelin-the-power,1,8.0,regular,2020-12-04,21:15,2020-12-05,3.0
22536,1951739,205 Live #210,https://www.tvmaze.com/episodes/1951739/205-live-2020-12-04-205-live-210,2020,49.0,regular,2020-12-04,22:00,2020-12-05,60.0
41648,1979826,Chanyeol's Episode 18,https://www.tvmaze.com/episodes/1979826/sim-for-you-4x18-chanyeols-episode-18,4,18.0,regular,2020-12-05,06:00,2020-12-04,16.0
7847,1968112,Выпуск 303,https://www.tvmaze.com/episodes/1968112/po-sezonu-videodajdzest-seasonvar-6x49-vypusk-303,6,49.0,regular,2020-12-05,,2020-12-05,8.0
35551,1980956,第133集,https://www.tvmaze.com/episodes/1980956/soul-land-7x03-di133ji,7,3.0,regular,2020-12-05,10:00,2020-12-05,20.0
51670,1962056,Scorpion-Tailed Snake Shadow,https://www.tvmaze.com/episodes/1962056/heaven-officials-blessing-1x07-scorpion-tailed-snake-shadow,1,7.0,regular,2020-12-05,11:00,2020-12-05,25.0
47912,1972559,Episode 17,https://www.tvmaze.com/episodes/1972559/the-wolf-1x17-episode-17,1,17.0,regular,2020-12-05,,2020-12-05,45.0
47912,1972560,Episode 18,https://www.tvmaze.com/episodes/1972560/the-wolf-1x18-episode-18,1,18.0,regular,2020-12-05,,2020-12-05,45.0
55919,2113317,Bursdagstyven,https://www.tvmaze.com/episodes/2113317/klassen-3x16-bursdagstyven,3,16.0,regular,2020-12-05,05:00,2020-12-05,11.0
